ZIP Code,Renewal Resilience,Nonrenewal Rate,New and Renewed to Nonrenewed Ratio,New and Renewed to Total Units Ratio,Premium to Exposure Ratio,New and Renewed to Nonrenewed and Income Growth Product,Housing Value to Log Median Income Ratio,Change in Nonrenewed to Income Growth Ratio,Log of Average Median Income,Housing Value to Median Income Ratio,Losses to Owner Nonrenewed Ratio,Losses to Company Nonrenewed Ratio,Fire Smoke Claims to Total Units Ratio,Losses to Premium Ratio,Loss Burden per Exposure,Loss Burden per Unit,Change in Renewed to Income Growth Ratio,Premium Adequacy,Growth in Losses to Fire Disasters 10yr Ratio,Growth in Losses to All Disasters 10yr Ratio,Growth in Losses to All Disasters 3yr Ratio,Growth in Losses to Fire Disasters 3yr Ratio,Growth in Losses to Fire Disasters 5yr Ratio,Growth in Losses to All Disasters 5yr Ratio,New and Renewed to Nonrenewed and Income Growth Ratio
90001,0.8857886309047238,0.11421136909527622,8.864002804065896,2.8045913274925143,1664.0959299101696,6.236867480561339,44141.17955271405,0.8194188658589606,10.781355195926995,9.890863754835856,2335.715168539326,3874.7185461323393,0.013973605411999556,0.27707634837178935,461.08162359986693,461.08162359986693,0.029322370096674846,3.6091135381146646,-0.11756796726606612,-0.11756796726606612,-0.1763519508990992,-0.1763519508990992,-0.1763519508990992,-0.1763519508990992,12.597757761467852
90002,0.8755845090124296,0.12441549098757045,8.14519755862512,3.2243133265513735,1950.1906154628687,5.3082731618828065,43742.86479413173,0.9478784504687752,10.683722892852117,10.708975841140772,1814.3577235772357,3712.1545988258317,0.012080366225839268,0.24737532829791595,482.4290437436419,482.4290437436419,0.0677168283946238,4.042440314806546,-0.19859373484628065,-0.19859373484628065,-0.297890602269421,-0.297890602269421,-0.297890602269421,-0.297890602269421,12.498272271561248
90003,0.8715053067564069,0.12849469324359306,7.921934021657013,2.9538028169014083,1929.54,4.6946158995684675,46117.37886011095,0.9856927298891585,10.692691387465675,11.198884917918436,1617.3378327709036,3307.852760736196,0.012488262910798123,0.20990383219606065,405.01784037558684,405.01784037558684,0.09773682671716698,4.764086436811454,0.3300381405069331,0.3300381405069331,0.4950572107603996,0.4950572107603996,0.4950572107603996,0.4950572107603996,13.367875026635414
90004,0.8800291790584143,0.11997082094158577,8.355940130963518,3.4322766570605188,7609.147934678194,2.8834370594256793,122108.70895873164,0.8381087256596753,10.885584751364705,24.891382188535797,1946.3644366197184,7641.947004608295,0.009221902017291067,0.08374077766498512,637.1959654178675,637.1959654178675,-0.018495721647858406,11.941613487285945,0.24192137069610165,0.24192137069610165,0.36288205604415247,0.36288205604415247,0.36288205604415247,0.36288205604415247,24.21475968896427
90005,0.8683393688566994,0.13166063114330057,7.618860510805501,3.5383211678832116,12468.743613138686,4.76316672949961,87759.91664328938,0.13329473407575304,10.650151803060869,22.148781593758148,2306.4427083333335,7085.392,0.014598540145985401,0.06480979482784067,808.0967153284671,808.0967153284671,0.0019179098428164455,15.429766482927127,3.5960209691102833,3.5960209691102833,5.394031453665425,5.394031453665425,5.394031453665425,5.394031453665425,12.186647828976907
90006,0.8617844904175657,0.1382155095824343,7.359044995408632,2.4749845583693637,3295.587399629401,3.49701643951691,70933.1767855141,2.315454601278021,10.604326504006421,18.66087554738058,4416.808,9771.699115044248,0.01266213712168005,0.3104274418636033,1023.0407659048795,1023.0407659048795,0.09227480329098578,3.2213646899148283,6.312276485566332,6.312276485566332,9.468414728349497,9.468414728349497,9.468414728349497,9.468414728349497,15.486213514034858
90007,0.8782256082575571,0.12177439174244287,8.365287588294652,2.6767839845011303,3470.801097836616,4.700080525334863,77462.039973665,2.6783644246186573,10.317544218712966,26.412696914716825,1935.3596127247579,5221.138059701492,0.010655473038424281,0.1301754356260183,451.813044882144,451.813044882144,0.09784878662414911,7.681940876102811,0.15776677331177763,0.15776677331177763,0.23665015996766645,0.23665015996766645,0.23665015996766645,0.23665015996766645,14.888688833664375
90008,0.9025451938341783,0.09745480616582168,10.318444561219128,3.9131127939418096,5332.6032283778395,7.091202546220322,85949.61288606685,0.35633857213691084,10.779619760221095,19.289367527355356,4109.513743455497,16744.898666666668,0.01654045436428856,0.23466259187608746,1251.3624950179355,1251.3624950179355,0.019668086444747056,4.2614376326672705,-0.1905799490069153,-0.1905799490069153,-0.28586992351037294,-0.28586992351037294,-0.28586992351037294,-0.28586992351037294,15.014420680974943
90011,0.8721064148335829,0.12789358516641713,7.94799639801891,2.598822230401178,1826.7118145012882,4.689515258847664,46054.02356287575,1.433716605572161,10.695380562732373,11.15627114201126,1793.5847164591978,3346.481935483871,0.00986382039013618,0.2090212799223723,381.82164151637835,381.82164151637835,0.06664470985500184,4.784201878255585,1.7140192624519839,1.7140192624519839,2.5710288936779757,2.5710288936779757,2.5710288936779757,2.5710288936779757,13.470613326982594
90012,0.905069751616196,0.09493024838380401,10.594982078853047,3.2341356673960613,9561.782275711159,7.880540349425864,58028.596558486366,0.30679609861995966,10.840560823592812,12.322478560235064,2157.1955555555555,8988.314814814816,0.019693654266958426,0.05553758472053622,531.0382932166302,531.0382932166302,0.04086470155208097,18.005824434605422,-0.3020123237607347,-0.3020123237607347,-0.4530184856411021,-0.4530184856411021,-0.4530184856411021,-0.4530184856411021,14.244409681805063
